;cvm;codigo
BBAS11;BBAS11;1023
BBAS12;BBAS12;1023
BBAS3;BBAS3;1023
ALPA3;ALPA3;10456
ALPA4;ALPA4;10456
SLED3;SLED3;10472
SLED4;SLED4;10472
SOND3;SOND3;10880
SOND5;SOND5;10880
SOND6;SOND6;10880
SPRI3;SPRI3;10960
SPRI5;SPRI5;10960
SPRI6;SPRI6;10960
WLMM3;WLMM3;11070
WLMM4;WLMM4;11070
BGIP3;BGIP3;1120
BGIP4;BGIP4;1120
TEKA3;TEKA3;11223
TEKA4;TEKA4;11223
TKNO3;TKNO3;11231
TKNO4;TKNO4;11231
OIBR3;OIBR3;11312
OIBR4;OIBR4;11312
OIBR11;OIBR11;11312
CRPG3;CRPG3;11398
CRPG5;CRPG5;11398
CRPG6;CRPG6;11398
BEES3;BEES3;1155
BEES4;BEES4;1155
UNIP3;UNIP3;11592
UNIP5;UNIP5;11592
UNIP6;UNIP6;11592
VULC3;VULC3;11762
MYPK3;MYPK3;11932
MYPK12;MYPK12;11932
AZEV3;AZEV3;11975
AZEV4;AZEV4;11975
MWET3;MWET3;11991
MWET4;MWET4;11991
BRSR3;BRSR3;1210
BRSR5;BRSR5;1210
BRSR6;BRSR6;1210
BOBR3;BOBR3;12190
BOBR4;BOBR4;12190
ITEC3;ITEC3;12530
RCSL3;RCSL3;12572
RCSL4;RCSL4;12572
KLBN11;KLBN11;12653
KLBN3;KLBN3;12653
KLBN4;KLBN4;12653
SNSY3;SNSY3;12696
SNSY5;SNSY5;12696
SNSY6;SNSY6;12696
APTI3;APTI3;12823
APTI4;APTI4;12823
BMEB3;BMEB3;1325
BMEB4;BMEB4;1325
JOPA3;JOPA3;13285
JOPA4;JOPA4;13285
PLAS3;PLAS3;13471
PLAS11;PLAS11;13471
MNPR3;MNPR3;13765
PTBL3;PTBL3;13773
SCAR3;SCAR3;13781
BRIV3;BRIV3;1384
BRIV4;BRIV4;1384
SUZB3;SUZB3;13986
RAPT3;RAPT3;14109
RAPT4;RAPT4;14109
TOYB3;TOYB3;14133
TOYB4;TOYB4;14133
TOYB13;TOYB13;14133
BSLI3;BSLI3;14206
BSLI4;BSLI4;14206
CPLE3;CPLE3;14311
CPLE5;CPLE5;14311
CPLE6;CPLE6;14311
USIM3;USIM3;14320
USIM5;USIM5;14320
USIM6;USIM6;14320
WHRL3;WHRL3;14346
WHRL4;WHRL4;14346
SBSP3;SBSP3;14443
CEBR3;CEBR3;14451
CEBR5;CEBR5;14451
CEBR6;CEBR6;14451
CYRE3;CYRE3;14460
SHUL3;SHUL3;14664
SHUL4;SHUL4;14664
HGTX3;HGTX3;14761
PCAR3;PCAR3;14826
PCAR4;PCAR4;14826
LTEL11B;LTEL11B;15091
LTEL3B;LTEL3B;15091
LTEL5B;LTEL5B;15091
BDLL3;BDLL3;1520
BDLL4;BDLL4;1520
ENGI11;ENGI11;15253
ENGI3;ENGI3;15253
ENGI4;ENGI4;15253
ENGI12;ENGI12;15253
FRRN3B;FRRN3B;15300
FRRN5B;FRRN5B;15300
FRRN6B;FRRN6B;15300
VSPT3;VSPT3;15369
VSPT4;VSPT4;15369
BTTL3;BTTL3;15458
NEOE3B;NEOE3B;15539
BALM3;BALM3;1562
BALM4;BALM4;1562
GFSA3;GFSA3;16101
GFSA1;GFSA1;16101
BRFS3;BRFS3;16292
RSID3;RSID3;16306
OPTS3B;OPTS3B;16438
ECPR3;ECPR3;16497
ECPR4;ECPR4;16497
UPKP3B;UPKP3B;16624
GPCP3;GPCP3;16632
GPCP4;GPCP4;16632
PSSA3;PSSA3;16659
BMKS3;BMKS3;1694
EMAE3;EMAE3;16993
EMAE4;EMAE4;16993
EGIE3;EGIE3;17329
RAIL3;RAIL3;17450
CPTP3B;CPTP3B;17493
SLCT3B;SLCT3B;17558
TIMP3;TIMP3;17639
VIVT3;VIVT3;17671
VIVT4;VIVT4;17671
STBP3;STBP3;17892
MMXM3;MMXM3;17914
MMXM11;MMXM11;17914
;;23434
KROT3;KROT3;17973
TRPL3;TRPL3;18376
TRPL4;TRPL4;18376
IDNT3;IDNT3;18414
UGPA3;UGPA3;18465
CPFE3;CPFE3;18660
PEAB3;PEAB3;18708
PEAB4;PEAB4;18708
BRAP3;BRAP3;18724
BRAP4;BRAP4;18724
IVPR3B;IVPR3B;18775
IVPR4B;IVPR4B;18775
CCRO3;CCRO3;18821
TIET11;TIET11;18970
TIET3;TIET3;18970
TIET4;TIET4;18970
CANT3B;CANT3B;19062
CANT4B;CANT4B;19062
LIQO3;LIQO3;19100
BIOM3;BIOM3;19305
TPIS3;TPIS3;19330
ITUB3;ITUB3;19348
ITUB4;ITUB4;19348
CSMG3;CSMG3;19445
ECOR3;ECOR3;19453
NATU3;NATU3;19550
GOLL4;GOLL4;19569
GOLL12;GOLL12;19569
GRND3;GRND3;19615
DASA3;DASA3;19623
FRTA3;FRTA3;19658
RENT3;RENT3;19739
ENBR3;ENBR3;19763
RBCS-CRI2PB0;RBCS-CRI2PB0;19860
RBCS-CRI2QB0;RBCS-CRI2QB0;19860
RBCS-CRI2RB0;RBCS-CRI2RB0;19860
RBCS-CRI73B0;RBCS-CRI73B0;19860
RBCS-CRI84B0;RBCS-CRI84B0;19860
RBCS-CRI85B0;RBCS-CRI85B0;19860
RBCS-CRI86B0;RBCS-CRI86B0;19860
LIGT3;LIGT3;19879
BRML3;BRML3;19909
BRPR3;BRPR3;19925
TOTS3;TOTS3;19992
EQTL3;EQTL3;20010
VLID3;VLID3;20028
LUPA3;LUPA3;20060
LUPA11;LUPA11;20060
EMBR3;EMBR3;20087
ODPV3;ODPV3;20125
TAEE11;TAEE11;20257
TAEE3;TAEE3;20257
TAEE4;TAEE4;20257
MDIA3;MDIA3;20338
PFRM3;PFRM3;20346
TESA3;TESA3;20354
TESA1;TESA1;20354
POSI3;POSI3;20362
LPSB3;LPSB3;20370
TCSA3;TCSA3;20435
RDNI3;RDNI3;20451
PDGR3;PDGR3;20478
IGTA3;IGTA3;20494
EVEN3;EVEN3;20524
SANB11;SANB11;20532
SANB3;SANB3;20532
SANB4;SANB4;20532
CPRE3;CPRE3;20540
PINE3;PINE3;20567
PINE4;PINE4;20567
JBSS3;JBSS3;20575
JHSF3;JHSF3;20605
FRIO3;FRIO3;20613
FHER3;FHER3;20621
CRDE3;CRDE3;20630
VIVR3;VIVR3;20702
LOGN3;LOGN3;20710
LOGN12;LOGN12;20710
SLCE3;SLCE3;20745
EZTC3;EZTC3;20770
MRFG3;MRFG3;20788
TGMA3;TGMA3;20800
HBOR3;HBOR3;20877
IDVL3;IDVL3;20885
IDVL4;IDVL4;20885
MRVE3;MRVE3;20915
BEEF3;BEEF3;20931
BEEF11;BEEF11;20931
ABCB4;ABCB4;20958
SGPS3;SGPS3;20966
MULT3;MULT3;20982
BTOW3;BTOW3;20990
GSHP3;GSHP3;21008
CAMB3;CAMB3;2100
CAMB4;CAMB4;2100
CAMB10;CAMB10;2100
ESTC3;ESTC3;21016
CCPR3;CCPR3;21040
DTEX3;DTEX3;21091
SULA11;SULA11;21121
SULA3;SULA3;21121
SULA4;SULA4;21121
TRIS3;TRIS3;21130
TEND3;TEND3;21148
BBRK3;BBRK3;21180
BPAN4;BPAN4;21199
ENEV3;ENEV3;21237
ALSC3;ALSC3;21300
OSXB3;OSXB3;21342
DIRR3;DIRR3;21350
GPAR3;GPAR3;21393
HYPE3;HYPE3;21431
LLIS3;LLIS3;21440
B3SA3;B3SA3;21610
RNEW11;RNEW11;21636
RNEW3;RNEW3;21636
RNEW4;RNEW4;21636
TRPN3;TRPN3;21717
CIEL3;CIEL3;21733
FLRY3;FLRY3;21881
JSLG3;JSLG3;22020
AMAR3;AMAR3;22055
PRIO3;PRIO3;22187
APER3;APER3;22217
RANI3;RANI3;2429
RANI4;RANI4;2429
ELET3;ELET3;2437
ELET5;ELET5;2437
ELET6;ELET6;2437
CMIG3;CMIG3;2453
CMIG4;CMIG4;2453
CLSC3;CLSC3;2461
CLSC4;CLSC4;2461
FESA3;FESA3;3069
FESA4;FESA4;3069
CEDO3;CEDO3;3077
CEDO4;CEDO4;3077
CSAB3;CSAB3;3115
CSAB4;CSAB4;3115
CTNM3;CTNM3;3158
CTNM4;CTNM4;3158
REDE3;REDE3;3190
HBTS3;HBTS3;3298
HBTS5;HBTS5;3298
HBTS6;HBTS6;3298
CATA3;CATA3;3395
CATA4;CATA4;3395
MSPA3;MSPA3;3654
MSPA4;MSPA4;3654
GGBR3;GGBR3;3980
GGBR4;GGBR4;3980
CSNA3;CSNA3;4030
CTSA3;CTSA3;4081
CTSA4;CTSA4;4081
CTSA8;CTSA8;4081
CTKA3;CTKA3;4146
CTKA4;CTKA4;4146
VALE3;VALE3;4170
ELEK3;ELEK3;4359
ELEK4;ELEK4;4359
CGRA3;CGRA3;4537
CGRA4;CGRA4;4537
GUAR3;GUAR3;4669
BRGE11;BRGE11;4707
BRGE12;BRGE12;4707
BRGE3;BRGE3;4707
BRGE5;BRGE5;4707
BRGE6;BRGE6;4707
BRGE7;BRGE7;4707
BRGE8;BRGE8;4707
CALI3;CALI3;4723
CALI4;CALI4;4723
BRKM3;BRKM3;4820
BRKM5;BRKM5;4820
BRKM6;BRKM6;4820
CORR3;CORR3;4863
CORR4;CORR4;4863
DOHL3;DOHL3;5207
DOHL4;DOHL4;5207
MNDL3;MNDL3;5312
WEGE3;WEGE3;5410
ETER3;ETER3;5762
EUCA3;EUCA3;5770
EUCA4;EUCA4;5770
FJTA3;FJTA3;6173
FJTA4;FJTA4;6173
FJTA13;FJTA13;6173
FJTA15;FJTA15;6173
FJTA17;FJTA17;6173
FRAS3;FRAS3;6211
TUPY3;TUPY3;6343
VVAR3;VVAR3;6505
HOOT3;HOOT3;6700
HOOT4;HOOT4;6700
IGBR3;IGBR3;6815
BAHI3;BAHI3;701
ROMI3;ROMI3;7510
TXRX3;TXRX3;7544
INEP3;INEP3;7595
INEP4;INEP4;7595
ITSA3;ITSA3;7617
ITSA4;ITSA4;7617
JFEN3;JFEN3;7811
KEPL3;KEPL3;7870
KEPL11;KEPL11;7870
GPIV33;GPIV33;80020
WSON33;WSON33;80047
LAME3;LAME3;8087
LAME4;LAME4;8087
LREN3;LREN3;8133
LUXM3;LUXM3;8192
LUXM4;LUXM4;8192
MGEL3;MGEL3;8397
MGEL4;MGEL4;8397
ESTR3;ESTR3;8427
ESTR4;ESTR4;8427
POMO3;POMO3;8451
POMO4;POMO4;8451
LEVE3;LEVE3;8575
GOAU3;GOAU3;8656
GOAU4;GOAU4;8656
JPSA3;JPSA3;8672
MTSA3;MTSA3;8753
MTSA4;MTSA4;8753
MOAR3;MOAR3;8893
NAFG3;NAFG3;9040
NAFG4;NAFG4;9040
NEMO3;NEMO3;9067
NEMO5;NEMO5;9067
NEMO6;NEMO6;9067
BBDC3;BBDC3;906
BBDC4;BBDC4;906
PNVL3;PNVL3;9342
